Match Number,Round Number,Date,Location,Home Team,Away Team,Result
133,15,20/12/2024 19:30,Allianz Arena,Bayern München,Leipzig,5 - 1
127,15,21/12/2024 14:30,Holstein-Stadion,Holstein Kiel,FC Augsburg,5 - 1
130,15,21/12/2024 14:30,Weser-Stadion,SV Werder Bremen,1. FC Union Berlin,4 - 1
131,15,21/12/2024 14:30,PreZero Arena,Hoffenheim,Borussia Mönchengladbach,1 - 2
132,15,21/12/2024 14:30,Deutsche Bank Park,Frankfurt,1. FSV Mainz 05,1 - 3
134,15,21/12/2024 14:30,MHPArena,Sttuttgart,FC St. Pauli,0 - 1
135,15,21/12/2024 17:30,BayArena,Leverkusen,SC Freiburg,5 - 1
128,15,22/12/2024 14:30,Vonovia Ruhrstadion,VfL Bochum 1848,1. Heidenheim,2 - 0
129,15,22/12/2024 16:30,Volkswagen Arena,VfL Wolfsburg,Dortmund,1 - 3
143,16,10/01/2025 19:30,Signal Iduna Park,Dortmund,Leverkusen,2 - 3
136,16,11/01/2025 14:30,Millerntor-Stadion,FC St. Pauli,Frankfurt,0 - 1
138,16,11/01/2025 14:30,Mewa Arena,1. FSV Mainz 05,VfL Bochum 1848,2 - 0
140,16,11/01/2025 14:30,Europa-Park Stadion,SC Freiburg,Holstein Kiel,3 - 2
141,16,11/01/2025 14:30,Voith-Arena,1. Heidenheim,1. FC Union Berlin,2 - 0
142,16,11/01/2025 14:30,PreZero Arena,Hoffenheim,VfL Wolfsburg,0 - 1
137,16,11/01/2025 17:30,Borussia-Park,Borussia Mönchengladbach,Bayern München,0 - 1
144,16,12/01/2025 14:30,Red Bull Arena,Leipzig,SV Werder Bremen,4 - 2
139,16,12/01/2025 16:30,WWK Arena,FC Augsburg,Sttuttgart,0 - 1
145,17,14/01/2025 17:30,Holstein-Stadion,Holstein Kiel,Dortmund,4 - 2
148,17,14/01/2025 19:30,Volkswagen Arena,VfL Wolfsburg,Borussia Mönchengladbach,5 - 1
150,17,14/01/2025 19:30,Deutsche Bank Park,Frankfurt,SC Freiburg,4 - 1
153,17,14/01/2025 19:30,BayArena,Leverkusen,1. FSV Mainz 05,1 - 0
146,17,15/01/2025 17:30,Vonovia Ruhrstadion,VfL Bochum 1848,FC St. Pauli,1 - 0
147,17,15/01/2025 19:30,An der Alten Försterei,1. FC Union Berlin,FC Augsburg,0 - 2
149,17,15/01/2025 19:30,Weser-Stadion,SV Werder Bremen,1. Heidenheim,3 - 3
151,17,15/01/2025 19:30,Allianz Arena,Bayern München,Hoffenheim,5 - 0
152,17,15/01/2025 19:30,MHPArena,Sttuttgart,Leipzig,2 - 1
