Match Number,Round Number,Date,Location,Home Team,Away Team,Result
33,4,31/08/2024 19:15,Konya Metropolitan Municipality Stadium,Konyaspor,Kayserispor,0 - 0
28,4,31/08/2024 21:45,New Adana Stadium,Adana Demirspor,Galatasaray,1 - 5
35,4,31/08/2024 21:45,Gürsel Aksel Stadium,Göztepe,Bodrum,2 - 0
31,4,01/09/2024 19:15,Recep Tayyip Erdogan Stadium,Eyüpspor,Trabzonspor,0 - 0
36,4,01/09/2024 19:15,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Antalyaspor,5 - 2
32,4,01/09/2024 21:45,Besiktas Park,Besiktas,Sivasspor,2 - 0
34,4,01/09/2024 21:45,Mersin Stadium,Hatayspor,Samsunspor,0 - 3
37,5,14/09/2024 17:00,New Sivas 4 Eylül Stadium,Sivasspor,Gaziantep,3 - 2
44,5,14/09/2024 17:00,Samsun 19 Mayis Stadium,Samsunspor,Konyaspor,0 - 1
41,5,14/09/2024 20:00,Rams Park,Galatasaray,Çaykur Rizespor,5 - 0
45,5,14/09/2024 20:00,Bodrum District Stadium,Bodrum,Istanbul Basaksehir,0 - 1
39,5,15/09/2024 17:00,RHG Enertürk Enerji Stadium,Kayserispor,Eyüpspor,2 - 2
40,5,15/09/2024 17:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Fenerbahçe,0 - 2
38,5,15/09/2024 20:00,Papara Park,Trabzonspor,Besiktas,1 - 1
42,5,15/09/2024 20:00,Alanya Oba Stadium,Alanyaspor,Hatayspor,0 - 0
43,5,16/09/2024 20:00,Corendon Airlines Park,Antalyaspor,Adana Demirspor,2 - 1
54,6,20/09/2024 20:00,Mersin Stadium,Hatayspor,Bodrum,0 - 1
51,6,21/09/2024 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Sivasspor,0 - 0
47,6,21/09/2024 20:00,Ülker Stadium,Fenerbahçe,Galatasaray,1 - 3
48,6,22/09/2024 17:00,Rize City Stadium,Çaykur Rizespor,Samsunspor,0 - 1
