Round,Match,Home Team,Away Team,Home Goals,Away Goals,Home Elo Before,Away Elo Before,Home Elo After,Away Elo After
21,Alanyaspor vs Istanbul Basaksehir,Alanyaspor,Istanbul Basaksehir,5.0,4.0,1487.7944283449574,1550.858044258882,1514.6170459507407,1524.0354266530987
21,Galatasaray vs Konyaspor,Galatasaray,Konyaspor,1.0,0.0,1770.296431207461,1422.1413144358073,1774.5234670878037,1417.9142785554645
21,Çaykur Rizespor vs Adana Demirspor,Çaykur Rizespor,Adana Demirspor,3.0,2.0,1452.0624148096115,1290.668241992918,1462.965897824205,1279.7647589783244
21,Bodrum vs Eyüpspor,Bodrum,Eyüpspor,0.0,1.0,1390.7422113308187,1652.8603977328708,1373.8059858551921,1669.7966232084973
21,Antalyaspor vs Besiktas,Antalyaspor,Besiktas,1.0,1.0,1368.1672866268812,1514.209438797677,1373.6019586915957,1508.7747667329625
21,Fenerbahçe vs Göztepe,Fenerbahçe,Göztepe,3.0,2.0,1758.775452387885,1619.1370586547755,1770.8411053870645,1607.071405655596
21,Kasimpasa vs Hatayspor,Kasimpasa,Hatayspor,5.0,4.0,1506.0384967585055,1318.43869666782,1515.660051596178,1308.8171418301476
22,Eyüpspor vs Sivasspor,Eyüpspor,Sivasspor,1.0,0.0,1669.7966232084973,1419.8932979212666,1676.8597926144892,1412.8301285152747
22,Konyaspor vs Bodrum,Konyaspor,Bodrum,3.0,1.0,1417.9142785554645,1373.8059858551921,1445.250822694848,1346.4694417158087
22,Hatayspor vs Antalyaspor,Hatayspor,Antalyaspor,2.0,3.0,1308.8171418301476,1373.6019586915957,1275.7867886638007,1406.6323118579426
22,Kayserispor vs Trabzonspor,Kayserispor,Trabzonspor,0.0,0.0,1346.7882547327688,1515.6139254439402,1354.8544861939718,1507.5476939827372
22,Istanbul Basaksehir vs Samsunspor,Istanbul Basaksehir,Samsunspor,4.0,0.0,1524.0354266530987,1626.5877533308571,1580.6986422217863,1569.9245377621696
22,Adana Demirspor vs Kasimpasa,Adana Demirspor,Kasimpasa,3.0,5.0,1279.7647589783244,1515.660051596178,1251.5201019076892,1543.9047086668131
22,Göztepe vs Alanyaspor,Göztepe,Alanyaspor,0.0,1.0,1607.071405655596,1514.6170459507407,1561.9676504915808,1559.720801114756
22,Fenerbahçe vs Çaykur Rizespor,Fenerbahçe,Çaykur Rizespor,3.0,2.0,1770.8411053870645,1462.965897824205,1776.0749875173437,1457.7320156939259
22,Gaziantep vs Galatasaray,Gaziantep,Galatasaray,0.0,1.0,1488.9268545642958,1774.5234670878037,1473.5841772471788,1789.8661444049208
23,Samsunspor vs Hatayspor,Samsunspor,Hatayspor,2.0,0.0,1569.9245377621696,1275.7867886638007,1578.3608471052944,1267.350479320676
23,Kayserispor vs Konyaspor,Kayserispor,Konyaspor,3.0,2.0,1354.8544861939718,1445.250822694848,1384.0254503611043,1416.0798585277155
23,Sivasspor vs Besiktas,Sivasspor,Besiktas,0.0,2.0,1412.8301285152747,1508.7747667329625,1367.304900241004,1554.2999950072333
23,Kasimpasa vs Çaykur Rizespor,Kasimpasa,Çaykur Rizespor,3.0,2.0,1543.9047086668131,1457.7320156939259,1559.2095478824856,1442.4271764782534
23,Alanyaspor vs Fenerbahçe,Alanyaspor,Fenerbahçe,0.0,2.0,1559.720801114756,1776.0749875173437,1529.251823804214,1806.5439648278857
23,Antalyaspor vs Istanbul Basaksehir,Antalyaspor,Istanbul Basaksehir,0.0,0.0,1406.6323118579426,1580.6986422217863,1415.2951544592113,1572.0357996205175
23,Trabzonspor vs Eyüpspor,Trabzonspor,Eyüpspor,1.0,0.0,1507.5476939827372,1676.8597926144892,1543.454428567308,1640.9530580299183
23,Bodrum vs Göztepe,Bodrum,Göztepe,0.0,0.0,1346.4694417158087,1561.9676504915808,1359.698442774947,1548.7386494324426
24,Adana Demirspor vs Antalyaspor,Adana Demirspor,Antalyaspor,1.0,1.0,1251.5201019076892,1415.2951544592113,1259.008014340683,1407.8072420262174
24,Gaziantep vs Sivasspor,Gaziantep,Sivasspor,2.0,1.0,1473.5841772471788,1367.304900241004,1487.6072144498776,1353.2818630383051
24,Istanbul Basaksehir vs Bodrum,Istanbul Basaksehir,Bodrum,0.0,1.0,1572.0357996205175,1359.698442774947,1520.5617861094943,1411.1724562859702
24,Besiktas vs Trabzonspor,Besiktas,Trabzonspor,2.0,1.0,1554.2999950072333,1543.454428567308,1575.0408583101819,1522.7135652643594
24,Hatayspor vs Alanyaspor,Hatayspor,Alanyaspor,1.0,0.0,1267.350479320676,1529.251823804214,1310.3990765492042,1486.2032265756857
24,Eyüpspor vs Kayserispor,Eyüpspor,Kayserispor,1.0,1.0,1640.9530580299183,1384.0254503611043,1609.0737649701243,1415.9047434208983
24,Konyaspor vs Samsunspor,Konyaspor,Samsunspor,0.0,1.0,1416.0798585277155,1578.3608471052944,1391.4007594656791,1603.0399461673308
24,Fenerbahçe vs Kasimpasa,Fenerbahçe,Kasimpasa,3.0,1.0,1806.5439648278857,1559.2095478824856,1817.2777321203919,1548.4757805899794
